"Label (Grouping)","EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate","COMMUTING TO WORK!!Workers 16 years and over!!Worked from home","COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)","INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars)","INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars)"
"    Percent","4.1%","10.3%","(X)","(X)","(X)"
"Providence-Warwick, RI-MA Metro Area","","","","",""
"    Estimate","(X)","77,054","26.3","81,136","45,920"
"    Percent","5.8%","9.3%","(X)","(X)","(X)"
"Provo-Orem, UT Metro Area","","","","",""
"    Estimate","(X)","49,260","21.8","91,190","33,141"
"    Percent","3.4%","15.1%","(X)","(X)","(X)"
"Pueblo, CO Metro Area","","","","",""
"    Estimate","(X)","4,050","22.4","59,436","38,609"
"    Percent","5.9%","5.8%","(X)","(X)","(X)"
"Pullman, WA Micro Area","","","","",""
"    Estimate","(X)","1,990","16.8","49,345","23,259"
"    Percent","6.7%","8.9%","(X)","(X)","(X)"
"Punta Gorda, FL Metro Area","","","","",""
"    Estimate","(X)","9,163","25.7","62,164","33,412"
"    Percent","5.7%","13.8%","(X)","(X)","(X)"
"Quincy, IL-MO Micro Area","","","","",""
"    Estimate","(X)","2,164","17.7","61,924","38,128"
"    Percent","4.1%","5.8%","(X)","(X)","(X)"
"Racine, WI Metro Area","","","","",""
"    Estimate","(X)","7,415","23.7","72,658","42,688"
"    Percent","4.4%","7.9%","(X)","(X)","(X)"
"Raleigh-Cary, NC Metro Area","","","","",""
"    Estimate","(X)","146,961","27.0","91,818","49,056"
"    Percent","4.2%","20.1%","(X)","(X)","(X)"
"Rapid City, SD Metro Area","","","","",""
"    Estimate","(X)","5,712","18.9","68,363","36,655"
"    Percent","3.5%","8.1%","(X)","(X)","(X)"
"Raymondville, TX Micro Area","","","","",""
"    Estimate","(X)","628","19.0","42,839","27,012"
"    Percent","8.7%","7.9%","(X)","(X)","(X)"
"Reading, PA Metro Area","","","","",""
"    Estimate","(X)","19,134","25.0","74,617","41,692"
"    Percent","5.4%","9.3%","(X)","(X)","(X)"
"Red Bluff, CA Micro Area","","","","",""
"    Estimate","(X)","2,239","24.2","59,029","36,794"
"    Percent","7.4%","9.0%","(X)","(X)","(X)"
"Redding, CA Metro Area","","","","",""
"    Estimate","(X)","5,478","20.2","68,347","38,355"
"    Percent","6.6%","7.4%","(X)","(X)","(X)"
"Red Wing, MN Micro Area","","","","",""
"    Estimate","(X)","2,120","25.0","78,338","45,159"
"    Percent","4.0%","9.0%","(X)","(X)","(X)"
"Reno, NV Metro Area","","","","",""
"    Estimate","(X)","23,183","22.4","81,576","42,355"
"    Percent","5.0%","9.4%","(X)","(X)","(X)"
"Rexburg, ID Micro Area","","","","",""
"    Estimate","(X)","3,775","17.0","56,594","12,955"
"    Percent","7.5%","11.8%","(X)","(X)","(X)"
"Richmond, IN Micro Area","","","","",""
"    Estimate","(X)","1,621","20.1","54,854","34,036"
"    Percent","4.5%","5.4%","(X)","(X)","(X)"
"Richmond, VA Metro Area","","","","",""
"    Estimate","(X)","96,026","25.3","80,877","45,473"
"    Percent","4.8%","14.4%","(X)","(X)","(X)"
"Richmond-Berea, KY Micro Area","","","","",""
"    Estimate","(X)","3,275","25.6","57,096","31,411"
"    Percent","5.8%","6.8%","(X)","(X)","(X)"
"Rio Grande City-Roma, TX Micro Area","","","","",""
"    Estimate","(X)","2,002","25.0","35,979","21,218"
"    Percent","11.5%","8.6%","(X)","(X)","(X)"
"Riverside-San Bernardino-Ontario, CA Metro Area","","","","",""
"    Estimate","(X)","182,465","33.1","81,041","39,454"
"    Percent","6.9%","9.1%","(X)","(X)","(X)"
"Riverton, WY Micro Area","","","","",""
"    Estimate","(X)","1,425","17.3","60,030","33,439"
"    Percent","8.2%","8.7%","(X)","(X)","(X)"
"Roanoke, VA Metro Area","","","","",""
"    Estimate","(X)","15,336","23.5","65,687","40,493"
"    Percent","4.0%","10.5%","(X)","(X)","(X)"
"Roanoke Rapids, NC Micro Area","","","","",""
"    Estimate","(X)","1,451","24.4","42,846","32,969"
"    Percent","8.8%","5.9%","(X)","(X)","(X)"
"Rochelle, IL Micro Area","","","","",""
"    Estimate","(X)","1,516","27.0","75,782","39,935"
"    Percent","6.0%","6.2%","(X)","(X)","(X)"
"Rochester, MN Metro Area","","","","",""
"    Estimate","(X)","12,717","20.6","86,788","48,984"
"    Percent","3.2%","10.8%","(X)","(X)","(X)"
"Rochester, NY Metro Area","","","","",""
"    Estimate","(X)","56,418","21.2","71,349","42,043"
"    Percent","5.0%","10.9%","(X)","(X)","(X)"
"Rockford, IL Metro Area","","","","",""
"    Estimate","(X)","10,944","23.5","63,834","37,749"
"    Percent","7.5%","7.2%","(X)","(X)","(X)"
"Rockingham, NC Micro Area","","","","",""
"    Estimate","(X)","432","24.8","42,354","30,407"
"    Percent","9.6%","2.4%","(X)","(X)","(X)"
"Rockport, TX Micro Area","","","","",""
"    Estimate","(X)","939","20.8","58,168","35,824"
"    Percent","4.4%","10.6%","(X)","(X)","(X)"
"Rock Springs, WY Micro Area","","","","",""
"    Estimate","(X)","618","20.4","79,375","46,065"
"    Percent","5.7%","3.0%","(X)","(X)","(X)"
"Rocky Mount, NC Metro Area","","","","",""
"    Estimate","(X)","4,673","23.6","53,553","34,756"
"    Percent","7.2%","7.5%","(X)","(X)","(X)"
"Rolla, MO Micro Area","","","","",""
"    Estimate","(X)","1,149","20.3","53,242","30,733"
"    Percent","4.2%","6.1%","(X)","(X)","(X)"
"Rome, GA Metro Area","","","","",""
"    Estimate","(X)","2,172","23.4","57,868","33,759"
"    Percent","4.1%","5.1%","(X)","(X)","(X)"
"Roseburg, OR Micro Area","","","","",""
"    Estimate","(X)","3,905","19.6","56,440","34,914"
"    Percent","6.1%","9.3%","(X)","(X)","(X)"
"Roswell, NM Micro Area","","","","",""
"    Estimate","(X)","919","18.3","49,673","31,208"
"    Percent","5.3%","3.5%","(X)","(X)","(X)"
"Ruidoso, NM Micro Area","","","","",""
"    Estimate","(X)","1,118","20.8","47,919","26,641"
"    Percent","5.3%","13.6%","(X)","(X)","(X)"
"Russellville, AR Micro Area","","","","",""
"    Estimate","(X)","1,741","21.1","52,259","31,714"
"    Percent","4.5%","4.9%","(X)","(X)","(X)"
"Ruston, LA Micro Area","","","","",""
"    Estimate","(X)","2,072","18.4","37,001","22,957"
"    Percent","4.2%","9.9%","(X)","(X)","(X)"
"Rutland, VT Micro Area","","","","",""
"    Estimate","(X)","2,322","22.8","62,641","38,569"
"    Percent","4.3%","8.1%","(X)","(X)","(X)"
"Sacramento-Roseville-Folsom, CA Metro Area","","","","",""
"    Estimate","(X)","173,043","27.5","89,227","46,404"
"    Percent","5.7%","15.7%","(X)","(X)","(X)"
"Safford, AZ Micro Area","","","","",""
"    Estimate","(X)","583","23.1","64,089","32,166"
"    Percent","6.0%","4.2%","(X)","(X)","(X)"
"Saginaw, MI Metro Area","","","","",""
"    Estimate","(X)","5,566","22.0","56,579","35,019"
"    Percent","6.6%","7.0%","(X)","(X)","(X)"
"St. Cloud, MN Metro Area","","","","",""
"    Estimate","(X)","8,365","21.9","72,564","40,094"
"    Percent","4.3%","8.0%","(X)","(X)","(X)"
"St. George, UT Metro Area","","","","",""
"    Estimate","(X)","10,417","18.5","71,976","34,305"
"    Percent","3.1%","13.4%","(X)","(X)","(X)"
"St. Joseph, MO-KS Metro Area","","","","",""
"    Estimate","(X)","3,214","18.9","61,030","36,514"
"    Percent","4.4%","5.9%","(X)","(X)","(X)"
"St. Louis, MO-IL Metro Area","","","","",""
"    Estimate","(X)","164,901","25.3","75,316","44,494"
"    Percent","4.4%","11.9%","(X)","(X)","(X)"
"St. Marys, GA Micro Area","","","","",""
"    Estimate","(X)","2,196","25.0","68,104","38,069"
"    Percent","4.7%","8.6%","(X)","(X)","(X)"
"St. Marys, PA Micro Area","","","","",""
"    Estimate","(X)","379","17.7","61,672","37,785"
"    Percent","6.5%","2.6%","(X)","(X)","(X)"
"Salem, OH Micro Area","","","","",""
"    Estimate","(X)","2,157","24.7","55,473","33,774"
"    Percent","4.9%","4.7%","(X)","(X)","(X)"
"Salem, OR Metro Area","","","","",""
"    Estimate","(X)","22,003","24.7","72,154","37,569"
"    Percent","5.4%","11.3%","(X)","(X)","(X)"
"Salina, KS Micro Area","","","","",""
"    Estimate","(X)","1,627","16.1","60,896","35,532"
"    Percent","3.6%","5.5%","(X)","(X)","(X)"
"Salinas, CA Metro Area","","","","",""
"    Estimate","(X)","16,440","25.0","91,043","36,654"
"    Percent","5.3%","8.7%","(X)","(X)","(X)"
"Salisbury, MD-DE Metro Area","","","","",""
"    Estimate","(X)","16,805","25.4","72,964","36,760"
"    Percent","5.8%","9.0%","(X)","(X)","(X)"
"Salt Lake City, UT Metro Area","","","","",""
"    Estimate","(X)","98,942","22.9","90,277","43,623"
"    Percent","3.6%","15.1%","(X)","(X)","(X)"
"San Angelo, TX Metro Area","","","","",""
"    Estimate","(X)","4,041","19.3","66,832","36,242"
"    Percent","3.1%","6.9%","(X)","(X)","(X)"
"San Antonio-New Braunfels, TX Metro Area","","","","",""
"    Estimate","(X)","133,650","26.8","70,910","38,358"
"    Percent","5.2%","11.0%","(X)","(X)","(X)"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","","","","",""
"    Estimate","(X)","241,667","26.1","96,974","46,264"
"    Percent","6.3%","14.9%","(X)","(X)","(X)"
"Sandpoint, ID Micro Area","","","","",""
"    Estimate","(X)","2,003","23.9","61,816","32,943"
"    Percent","3.5%","10.3%","(X)","(X)","(X)"
"Sandusky, OH Micro Area","","","","",""
"    Estimate","(X)","1,412","20.9","65,171","38,693"
"    Percent","6.1%","4.0%","(X)","(X)","(X)"
"Sanford, NC Micro Area","","","","",""
"    Estimate","(X)","1,323","25.8","60,941","36,419"
"    Percent","5.2%","4.7%","(X)","(X)","(X)"
"San Francisco-Oakland-Berkeley, CA Metro Area","","","","",""
"    Estimate","(X)","486,448","32.6","129,315","65,360"
"    Percent","5.2%","20.3%","(X)","(X)","(X)"
"San Germán, PR Metro Area","","","","",""
"    Estimate","(X)","1,602","25.2","19,871","17,053"
"    Percent","13.5%","4.5%","(X)","(X)","(X)"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","","","","",""
"    Estimate","(X)","192,601","27.9","151,713","69,357"
"    Percent","4.5%","19.1%","(X)","(X)","(X)"
"San Juan-Bayamón-Caguas, PR Metro Area","","","","",""
"    Estimate","(X)","36,436","30.2","26,853","20,796"
"    Percent","13.0%","5.1%","(X)","(X)","(X)"
"San Luis Obispo-Paso Robles, CA Metro Area","","","","",""
"    Estimate","(X)","16,858","21.6","90,158","37,744"
"    Percent","5.0%","13.0%","(X)","(X)","(X)"
"Santa Cruz-Watsonville, CA Metro Area","","","","",""
"    Estimate","(X)","21,075","26.7","104,409","43,224"
"    Percent","5.9%","16.3%","(X)","(X)","(X)"
"Santa Fe, NM Metro Area","","","","",""
"    Estimate","(X)","10,616","23.6","70,522","36,978"
"    Percent","5.4%","15.0%","(X)","(X)","(X)"
"Santa Isabel, PR Micro Area","","","","",""
"    Estimate","(X)","258","25.2","22,680","17,109"
"    Percent","8.6%","3.9%","(X)","(X)","(X)"
"Santa Maria-Santa Barbara, CA Metro Area","","","","",""
"    Estimate","(X)","23,023","20.9","92,332","36,219"
"    Percent","6.0%","11.2%","(X)","(X)","(X)"
"Santa Rosa-Petaluma, CA Metro Area","","","","",""
"    Estimate","(X)","31,438","25.4","99,266","46,987"
"    Percent","5.2%","13.0%","(X)","(X)","(X)"
"Sault Ste. Marie, MI Micro Area","","","","",""
"    Estimate","(X)","1,012","17.9","58,408","29,063"
"    Percent","7.7%","6.5%","(X)","(X)","(X)"
"Savannah, GA Metro Area","","","","",""
"    Estimate","(X)","14,893","24.8","70,705","37,351"
"    Percent","6.1%","7.6%","(X)","(X)","(X)"
"Sayre, PA Micro Area","","","","",""
"    Estimate","(X)","1,685","23.7","60,650","39,368"
"    Percent","4.8%","6.6%","(X)","(X)","(X)"
"Scottsbluff, NE Micro Area","","","","",""
"    Estimate","(X)","1,075","14.0","59,842","37,264"
"    Percent","3.5%","6.0%","(X)","(X)","(X)"
"Scottsboro, AL Micro Area","","","","",""
"    Estimate","(X)","775","27.3","46,748","33,822"
"    Percent","6.0%","3.9%","(X)","(X)","(X)"
"Scottsburg, IN Micro Area","","","","",""
"    Estimate","(X)","714","22.3","49,343","35,408"
"    Percent","4.8%","6.8%","(X)","(X)","(X)"
"Scranton--Wilkes-Barre, PA Metro Area","","","","",""
"    Estimate","(X)","21,539","23.0","62,318","37,744"
"    Percent","5.4%","8.2%","(X)","(X)","(X)"
"Searcy, AR Micro Area","","","","",""
"    Estimate","(X)","1,162","23.5","51,144","31,667"
"    Percent","5.2%","3.7%","(X)","(X)","(X)"
"Seattle-Tacoma-Bellevue, WA Metro Area","","","","",""
"    Estimate","(X)","389,337","30.2","107,206","57,183"
"    Percent","4.6%","18.7%","(X)","(X)","(X)"
"Sebastian-Vero Beach, FL Metro Area","","","","",""
"    Estimate","(X)","6,776","23.5","67,543","34,270"
"    Percent","5.9%","10.9%","(X)","(X)","(X)"
"Sebring-Avon Park, FL Metro Area","","","","",""
"    Estimate","(X)","2,288","22.1","53,679","33,783"
"    Percent","6.8%","6.6%","(X)","(X)","(X)"
"Sedalia, MO Micro Area","","","","",""
"    Estimate","(X)","1,242","19.0","57,581","34,158"
"    Percent","3.9%","6.3%","(X)","(X)","(X)"
"Selinsgrove, PA Micro Area","","","","",""
"    Estimate","(X)","1,345","23.5","65,914","35,737"
"    Percent","2.2%","7.0%","(X)","(X)","(X)"
"Selma, AL Micro Area","","","","",""
"    Estimate","(X)","576","26.0","37,180","28,574"
"    Percent","9.1%","4.1%","(X)","(X)","(X)"
"Seneca, SC Micro Area","","","","",""
"    Estimate","(X)","2,122","25.4","56,710","35,309"
"    Percent","5.8%","6.7%","(X)","(X)","(X)"
"Seneca Falls, NY Micro Area","","","","",""
"    Estimate","(X)","1,058","21.2","64,050","38,377"
"    Percent","4.5%","7.3%","(X)","(X)","(X)"
"Sevierville, TN Micro Area","","","","",""
"    Estimate","(X)","3,241","26.6","60,103","32,525"
"    Percent","3.5%","7.1%","(X)","(X)","(X)"
"Seymour, IN Micro Area","","","","",""
"    Estimate","(X)","752","22.5","65,609","41,534"
"    Percent","2.7%","3.4%","(X)","(X)","(X)"
"Shawano, WI Micro Area","","","","",""
"    Estimate","(X)","1,913","23.4","65,222","36,166"
"    Percent","3.4%","9.1%","(X)","(X)","(X)"
"Shawnee, OK Micro Area","","","","",""
"    Estimate","(X)","1,685","24.4","58,270","34,436"
"    Percent","5.8%","5.8%","(X)","(X)","(X)"
"Sheboygan, WI Metro Area","","","","",""
"    Estimate","(X)","4,719","17.8","68,969","43,955"
"    Percent","2.8%","7.8%","(X)","(X)","(X)"
"Shelby, NC Micro Area","","","","",""
"    Estimate","(X)","2,433","24.8","50,723","33,340"
"    Percent","6.4%","5.7%","(X)","(X)","(X)"
"Shelbyville, TN Micro Area","","","","",""
"    Estimate","(X)","1,445","26.4","59,955","33,930"
"    Percent","4.6%","6.3%","(X)","(X)","(X)"
"Shelton, WA Micro Area","","","","",""
"    Estimate","(X)","2,530","35.3","74,388","41,700"
"    Percent","6.2%","9.9%","(X)","(X)","(X)"
"Sheridan, WY Micro Area","","","","",""
"    Estimate","(X)","1,354","15.9","68,898","41,215"
"    Percent","3.0%","8.8%","(X)","(X)","(X)"
"Sherman-Denison, TX Metro Area","","","","",""
"    Estimate","(X)","5,716","25.7","66,608","38,087"
"    Percent","3.9%","9.0%","(X)","(X)","(X)"
"Show Low, AZ Micro Area","","","","",""
"    Estimate","(X)","2,672","23.1","50,335","32,133"
"    Percent","9.7%","8.0%","(X)","(X)","(X)"
"Shreveport-Bossier City, LA Metro Area","","","","",""
"    Estimate","(X)","8,211","21.9","53,053","34,995"
"    Percent","7.5%","5.0%","(X)","(X)","(X)"
"Sidney, OH Micro Area","","","","",""
"    Estimate","(X)","1,125","18.9","73,502","42,225"
"    Percent","4.9%","4.8%","(X)","(X)","(X)"
"Sierra Vista-Douglas, AZ Metro Area","","","","",""
"    Estimate","(X)","4,123","21.7","58,421","35,100"
"    Percent","6.8%","8.8%","(X)","(X)","(X)"
"Sikeston, MO Micro Area","","","","",""
"    Estimate","(X)","704","20.2","54,621","33,728"
"    Percent","2.9%","4.1%","(X)","(X)","(X)"
"Silver City, NM Micro Area","","","","",""
"    Estimate","(X)","1,263","19.3","44,895","25,297"
"    Percent","7.7%","13.0%","(X)","(X)","(X)"
"Sioux City, IA-NE-SD Metro Area","","","","",""
"    Estimate","(X)","3,871","17.6","69,065","38,861"
"    Percent","4.1%","5.3%","(X)","(X)","(X)"
"Sioux Falls, SD Metro Area","","","","",""
"    Estimate","(X)","13,629","18.5","78,552","44,389"
"    Percent","2.1%","8.9%","(X)","(X)","(X)"
"Snyder, TX Micro Area","","","","",""
"    Estimate","(X)","208","18.5","58,932","36,313"
"    Percent","2.2%","3.0%","(X)","(X)","(X)"
"Somerset, KY Micro Area","","","","",""
"    Estimate","(X)","966","22.7","48,768","32,945"
"    Percent","4.9%","3.6%","(X)","(X)","(X)"
"Somerset, PA Micro Area","","","","",""
"    Estimate","(X)","2,319","24.8","57,357","34,478"
"    Percent","5.2%","7.3%","(X)","(X)","(X)"
"Sonora, CA Micro Area","","","","",""
"    Estimate","(X)","2,202","29.6","70,432","35,743"
"    Percent","8.3%","11.0%","(X)","(X)","(X)"
"South Bend-Mishawaka, IN-MI Metro Area","","","","",""
"    Estimate","(X)","11,920","21.9","62,448","36,449"
"    Percent","4.8%","7.8%","(X)","(X)","(X)"
"Spartanburg, SC Metro Area","","","","",""
"    Estimate","(X)","10,569","24.2","61,955","37,562"
"    Percent","4.7%","7.0%","(X)","(X)","(X)"
"Spearfish, SD Micro Area","","","","",""
"    Estimate","(X)","879","19.1","62,977","32,696"
"    Percent","2.5%","6.2%","(X)","(X)","(X)"
"Spencer, IA Micro Area","","","","",""
"    Estimate","(X)","637","17.6","61,756","36,353"
"    Percent","4.1%","7.7%","(X)","(X)","(X)"
"Spirit Lake, IA Micro Area","","","","",""
"    Estimate","(X)","874","16.2","72,446","38,675"
"    Percent","2.1%","9.5%","(X)","(X)","(X)"
"Spokane-Spokane Valley, WA Metro Area","","","","",""
"    Estimate","(X)","32,072","22.7","69,752","39,908"
"    Percent","5.7%","12.1%","(X)","(X)","(X)"
"Springfield, IL Metro Area","","","","",""
"    Estimate","(X)","9,573","19.8","72,445","44,176"
"    Percent","5.2%","9.8%","(X)","(X)","(X)"
"Springfield, MA Metro Area","","","","",""
"    Estimate","(X)","33,714","23.1","70,547","41,510"
"    Percent","5.9%","10.5%","(X)","(X)","(X)"
"Springfield, MO Metro Area","","","","",""
"    Estimate","(X)","17,606","22.5","58,291","35,736"
"    Percent","3.9%","7.9%","(X)","(X)","(X)"
"Springfield, OH Metro Area","","","","",""
"    Estimate","(X)","4,178","22.5","58,954","36,753"
"    Percent","6.8%","7.0%","(X)","(X)","(X)"
"Starkville, MS Micro Area","","","","",""
"    Estimate","(X)","1,622","20.9","45,358","25,725"
"    Percent","6.7%","6.3%","(X)","(X)","(X)"
"State College, PA Metro Area","","","","",""
"    Estimate","(X)","8,828","20.4","70,087","33,014"
"    Percent","4.0%","12.1%","(X)","(X)","(X)"
"Statesboro, GA Micro Area","","","","",""
"    Estimate","(X)","2,352","24.5","53,675","27,964"
"    Percent","8.3%","6.7%","(X)","(X)","(X)"
"Staunton, VA Metro Area","","","","",""
"    Estimate","(X)","3,827","23.4","67,711","39,748"
"    Percent","3.7%","6.4%","(X)","(X)","(X)"
"Steamboat Springs, CO Micro Area","","","","",""
"    Estimate","(X)","2,215","19.7","95,144","48,837"
"    Percent","2.9%","16.2%","(X)","(X)","(X)"
"Stephenville, TX Micro Area","","","","",""
"    Estimate","(X)","1,410","19.8","59,654","30,108"
"    Percent","5.6%","6.9%","(X)","(X)","(X)"
"Sterling, CO Micro Area","","","","",""
"    Estimate","(X)","778","17.4","54,864","34,112"
"    Percent","3.2%","7.6%","(X)","(X)","(X)"
"Sterling, IL Micro Area","","","","",""
"    Estimate","(X)","1,065","19.9","62,828","39,454"
"    Percent","4.4%","4.1%","(X)","(X)","(X)"
"Stevens Point, WI Micro Area","","","","",""
"    Estimate","(X)","4,135","19.6","71,301","37,376"
"    Percent","3.3%","11.2%","(X)","(X)","(X)"
"Stillwater, OK Micro Area","","","","",""
"    Estimate","(X)","2,810","18.6","46,658","25,107"
"    Percent","4.8%","7.7%","(X)","(X)","(X)"
"Stockton, CA Metro Area","","","","",""
"    Estimate","(X)","26,070","35.2","82,837","41,213"
"    Percent","7.2%","8.0%","(X)","(X)","(X)"
"Storm Lake, IA Micro Area","","","","",""
"    Estimate","(X)","611","14.8","62,662","36,555"
"    Percent","5.0%","6.0%","(X)","(X)","(X)"
"Sturgis, MI Micro Area","","","","",""
"    Estimate","(X)","1,542","20.9","62,281","36,171"
"    Percent","5.3%","5.7%","(X)","(X)","(X)"
"Sulphur Springs, TX Micro Area","","","","",""
"    Estimate","(X)","902","23.4","63,766","35,270"
"    Percent","4.8%","5.4%","(X)","(X)","(X)"
"Summerville, GA Micro Area","","","","",""
"    Estimate","(X)","251","27.4","43,556","32,474"
"    Percent","4.7%","2.8%","(X)","(X)","(X)"
"Sumter, SC Metro Area","","","","",""
"    Estimate","(X)","2,428","23.9","52,942","33,854"
"    Percent","7.8%","4.3%","(X)","(X)","(X)"
"Sunbury, PA Micro Area","","","","",""
"    Estimate","(X)","3,005","25.4","55,952","37,490"
"    Percent","4.7%","7.4%","(X)","(X)","(X)"
"Susanville, CA Micro Area","","","","",""
"    Estimate","(X)","511","20.1","59,515","39,272"
"    Percent","7.9%","5.7%","(X)","(X)","(X)"
"Sweetwater, TX Micro Area","","","","",""
"    Estimate","(X)","194","17.9","47,437","30,436"
"    Percent","6.6%","3.1%","(X)","(X)","(X)"
"Syracuse, NY Metro Area","","","","",""
"    Estimate","(X)","28,186","21.3","70,096","41,050"
"    Percent","5.8%","9.2%","(X)","(X)","(X)"
"Tahlequah, OK Micro Area","","","","",""
"    Estimate","(X)","1,204","24.8","52,410","31,986"
"    Percent","5.6%","6.0%","(X)","(X)","(X)"
"Talladega-Sylacauga, AL Micro Area","","","","",""
"    Estimate","(X)","884","26.8","52,457","34,188"
"    Percent","8.4%","2.8%","(X)","(X)","(X)"
"Tallahassee, FL Metro Area","","","","",""
"    Estimate","(X)","19,110","22.7","59,757","33,978"
"    Percent","5.4%","10.4%","(X)","(X)","(X)"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","","","","",""
"    Estimate","(X)","228,130","27.7","67,197","40,868"
"    Percent","4.9%","15.2%","(X)","(X)","(X)"
"Taos, NM Micro Area","","","","",""
"    Estimate","(X)","2,081","22.6","55,145","29,458"
"    Percent","5.9%","15.0%","(X)","(X)","(X)"
"Taylorville, IL Micro Area","","","","",""
"    Estimate","(X)","808","22.0","56,933","36,623"
"    Percent","4.4%","5.6%","(X)","(X)","(X)"
"Terre Haute, IN Metro Area","","","","",""
"    Estimate","(X)","3,822","23.0","56,449","34,163"
"    Percent","5.8%","4.7%","(X)","(X)","(X)"
"Texarkana, TX-AR Metro Area","","","","",""
"    Estimate","(X)","2,210","20.0","53,628","37,059"
"    Percent","5.4%","3.8%","(X)","(X)","(X)"
"The Dalles, OR Micro Area","","","","",""
"    Estimate","(X)","827","17.6","61,316","36,914"
"    Percent","7.1%","7.1%","(X)","(X)","(X)"
"The Villages, FL Metro Area","","","","",""
"    Estimate","(X)","3,403","27.1","70,105","31,772"
"    Percent","5.1%","12.2%","(X)","(X)","(X)"
"Thomaston, GA Micro Area","","","","",""
"    Estimate","(X)","275","23.7","48,740","34,152"
"    Percent","3.1%","2.4%","(X)","(X)","(X)"
"Thomasville, GA Micro Area","","","","",""
"    Estimate","(X)","1,186","19.8","55,958","36,561"
"    Percent","6.2%","5.8%","(X)","(X)","(X)"
"Tiffin, OH Micro Area","","","","",""
"    Estimate","(X)","1,263","21.2","62,476","36,332"
"    Percent","4.2%","4.8%","(X)","(X)","(X)"
"Tifton, GA Micro Area","","","","",""
"    Estimate","(X)","743","21.1","52,561","35,181"
"    Percent","2.9%","4.2%","(X)","(X)","(X)"
"Toccoa, GA Micro Area","","","","",""
"    Estimate","(X)","697","23.2","52,901","30,210"
"    Percent","5.8%","6.2%","(X)","(X)","(X)"
"Toledo, OH Metro Area","","","","",""
"    Estimate","(X)","19,031","21.1","61,620","36,952"
"    Percent","5.9%","6.3%","(X)","(X)","(X)"
"Topeka, KS Metro Area","","","","",""
"    Estimate","(X)","9,689","20.7","65,665","40,763"
"    Percent","3.9%","8.8%","(X)","(X)","(X)"
"Torrington, CT Micro Area","","","","",""
"    Estimate","(X)","10,372","28.7","89,394","49,566"
"    Percent","5.5%","11.0%","(X)","(X)","(X)"
"Traverse City, MI Micro Area","","","","",""
"    Estimate","(X)","8,128","22.8","73,845","37,065"
"    Percent","3.9%","11.2%","(X)","(X)","(X)"
"Trenton-Princeton, NJ Metro Area","","","","",""
"    Estimate","(X)","28,241","27.5","92,697","47,012"
"    Percent","6.1%","15.6%","(X)","(X)","(X)"
"Troy, AL Micro Area","","","","",""
"    Estimate","(X)","485","20.3","42,616","28,119"
"    Percent","4.9%","3.6%","(X)","(X)","(X)"
"Truckee-Grass Valley, CA Micro Area","","","","",""
"    Estimate","(X)","9,665","24.3","79,395","41,231"
"    Percent","4.4%","21.8%","(X)","(X)","(X)"
"Tucson, AZ Metro Area","","","","",""
"    Estimate","(X)","55,769","24.5","64,323","35,472"
"    Percent","5.9%","12.1%","(X)","(X)","(X)"
"Tullahoma-Manchester, TN Micro Area","","","","",""
"    Estimate","(X)","3,489","24.4","58,259","34,776"
"    Percent","3.8%","7.5%","(X)","(X)","(X)"
"Tulsa, OK Metro Area","","","","",""
"    Estimate","(X)","39,197","21.9","65,784","39,203"
"    Percent","5.1%","8.3%","(X)","(X)","(X)"
"Tupelo, MS Micro Area","","","","",""
"    Estimate","(X)","2,615","23.1","59,860","36,735"
"    Percent","4.6%","3.6%","(X)","(X)","(X)"
"Tuscaloosa, AL Metro Area","","","","",""
"    Estimate","(X)","6,491","24.3","58,132","33,648"
"    Percent","5.6%","5.3%","(X)","(X)","(X)"
"Twin Falls, ID Metro Area","","","","",""
"    Estimate","(X)","3,641","18.9","62,912","34,075"
"    Percent","3.2%","6.9%","(X)","(X)","(X)"
"Tyler, TX Metro Area","","","","",""
"    Estimate","(X)","7,511","23.2","69,053","36,490"
"    Percent","4.7%","7.0%","(X)","(X)","(X)"
"Ukiah, CA Micro Area","","","","",""
"    Estimate","(X)","3,763","21.7","61,335","34,738"
"    Percent","9.1%","10.2%","(X)","(X)","(X)"
"Union, SC Micro Area","","","","",""
"    Estimate","(X)","224","27.8","42,305","32,665"
"    Percent","10.2%","2.1%","(X)","(X)","(X)"
"Union City, TN Micro Area","","","","",""
"    Estimate","(X)","494","19.8","50,638","34,118"
"    Percent","5.0%","3.8%","(X)","(X)","(X)"
"Urbana, OH Micro Area","","","","",""
"    Estimate","(X)","1,257","26.5","70,486","40,108"
"    Percent","4.5%","6.9%","(X)","(X)","(X)"
"Urban Honolulu, HI Metro Area","","","","",""
"    Estimate","(X)","37,552","27.4","99,816","46,314"
"    Percent","4.8%","7.5%","(X)","(X)","(X)"
"Utica-Rome, NY Metro Area","","","","",""
"    Estimate","(X)","10,507","21.3","66,823","40,886"
"    Percent","4.4%","8.2%","(X)","(X)","(X)"
